document_id,clean_text,sentiment
66,setup a persistent volume using zerofs backed by s3 compatible storage,neutral
67,generates documentation for your swift project,neutral
68,setup a go environment and add it to the path,neutral
69,github action that uploads coverage reports for your repository to codecov io,neutral
70,close issues and pull requests with no recent activity,negative
71,creates github releases,neutral
72,lost pixel integration,neutral
73,busted,neutral
74,generate profile 3d contributions,neutral
75,sets up terraform cli in your github actions workflow,neutral
76,compresses images for the web,neutral
77,github actions for hugo setup hugo quickly and build your site fast hugo extended and hugo modules are supported,positive
78,copy files and artifacts via ssh,neutral
79,how to use scp command to transfer files folders in linux,neutral
80,next generation shell ngs,neutral
81,install the rust toolchain,neutral
82,github action for running cypress end to end and component tests,neutral
83,run ssh agent and load an ssh key to access other private repositories,neutral
84,update a pinned gist to contain wakatime stats,neutral
85,official golangci lint action with line attached annotations for found issues caching and parallel execution,negative
86,github action to login against a docker registry,neutral
87,bring your codebase alive,neutral
88,github action to compile latex documents,neutral
89,nodejs action for fast deployment with rsync ssh and remote script execution before after rsync,positive
90,execute cfn nag scan against the code in the repository where the github action workflow is run,neutral
91,ensure your pr title matches the conventional commits spec,neutral
92,set up docker buildx,neutral
93,post a message call a web api method start a slack workflow or run a slack cli command from github actions,neutral
94,authenticate to google cloud from github actions via workload identity federation or service account keys,neutral
95,a github action that creates an svg diagram of your repo,neutral
96,automatically commit changes made in your workflow run directly to your repo,positive
97,audit urls using lighthouse and test performance with lighthouse ci,neutral
98,a github action for cargo machete,neutral
99,pushing to github repository local changes,neutral
100,scans container images for vulnerabilities with trivy,negative
101,installs configures and starts an android emulator directly on hardware accelerated runners,neutral
102,install pnpm package manager,neutral
103,continuous benchmark using github pages as dash board for keeping performance,neutral
104,this action will send a notification to slack,neutral
105,create a repository dispatch event,neutral
106,upload python distribution packages to pypi,neutral
107,setup and run sherif an opinionated zero config linter for typescript javascript monorepos,positive
108,hunt every endpoint in your code expose shadow apis map the attack surface,neutral
109,used to build and publish net source set up a specific version of the net and authentication to private nuget repository,neutral
110,displays test results from popular testing frameworks directly in github,neutral
111,github action to extract metadata tags labels for docker,neutral
112,sync a directory to an aws s3 repository,neutral
113,docker image to export godot engine games templates for gitlab ci github actions deploy to gitlab github pages or itch io,neutral
114,build unity projects for different platforms,neutral
115,automated releases via semver and commit message conventions,positive
116,find php syntax errors,negative
117,deploy an app to heroku,neutral
118,harden runner provides runtime security for github hosted and self hosted runners,neutral
119,perform code reviews and comment on diffs using openai api,neutral
120,publish build or manage your expo app with github actions,neutral
121,sending a telegram message,neutral
122,sending a telegram message,neutral
123,github action for goreleaser a release automation tool for go projects,positive
124,an action to upload a signed android release apk or aab to the google play store developer console,neutral
125,this action will cancel any previous runs that are not completed for a given workflow,neutral
126,download a prebuilt ruby and add it to the path in 5 seconds,neutral
127,lint markdown files with rumdl,neutral
128,wraps the firebase tools cli to enable common commands,neutral
129,updates readme with the recent github activity of a user,neutral
130,automatically merge pull requests that are ready,positive
131,generate provenance attestations for build artifacts,neutral
132,create or update an issue or pull request comment,negative
133,a github action to deploy an artifact as a github pages site,neutral
134,connect your github action workflow to tailscale,neutral
135,bump and push git tag on merge,neutral
136,greet new contributors when they create their first issue or open their first pull request,negative
137,ldoc,neutral
138,generate a breakout game svg from github contribution graph,neutral
139,a github action that builds your release notes changelog fast easy and exactly the way you want,positive
140,github action for automatic creation and registration aws ec2 instance as a github actions self hosted runner,neutral
141,legitify github action,neutral
142,download and extract an artifact associated with given workflow and commit or other criteria,neutral
143,monitor your microsoft 365 tenant s security configuration using maester the powershell based test automation framework,positive
144,installs the bencher cli for continuous benchmarking,neutral
145,prevent the introduction of dependencies with known vulnerabilities,negative
146,transform your github contribution graph into a space shooter game gif,neutral
147,uses the git branch as the docker tag and pushes the container,neutral
148,converts ide todo comments to github issues,negative
149,a github action to deploy to firebase hosting,neutral
150,automate the github release process with assets changelogs pre releases and more,positive
151,github action for creating a github app installation access token,neutral
152,registers an amazon ecs task definition and deploys it to an ecs service,neutral
153,mobsfscan is a sast that can find insecure code patterns in your android and ios source code,neutral
154,run commands in a linux container with a specific cpu architecture armv6 armv7 aarch64 s390x ppc64le,neutral
155,this action make a deployment with github actions instead of vercel builder,neutral
156,list of pre commit hooks to ensure the quality of your dbt projects,neutral
157,publishes junit nunit xunit trx json test results on github for net dart java js jest mocha python scala,neutral
158,creates xcframework bundles for the products in your swift package and uploads them as artifacts you can attach to a release,neutral
159,bump and push git tag on merge,neutral
160,collaborate on tweets just like you collaborate on code using pull requests,neutral
161,github action for building and releasing electron apps,neutral
162,set up your github actions workflow with a specific version of uv,neutral
163,automatically rebases pr on rebase comment,positive
164,upload files to a github release cross platform,neutral
165,run flank from github actions,neutral
166,mirror the organization repos between hub github gitee,neutral
167,automatically generates documentation fabrication etc files for any kicad project,positive
168,facilitates chatops by creating dispatch events for slash commands,neutral
169,github action for semantic release,neutral
170,automatically add issues and prs to github projects,neutral
171,download install and setup bun to your path,neutral
172,wraps the serverless frameork to enable common serverless commands,neutral
173,install npm dependencies with caching,neutral
174,fast easy publishing to npm,positive
175,host a helm charts repo on github pages,neutral
176,github action for gitee pages,neutral
177,installs nix on github actions for the supported platforms linux and macos,neutral
178,deploy a zip file to aws elastic beanstalk,neutral
179,run cargo command,neutral
180,a configurable github action to free up disk space on an ubuntu github actions runner,positive
181,get compressed size differences for every pr,neutral
182,pause a workflow and get user approval to continue,neutral
183,deploy to the wordpress plugin repository,neutral
184,you can notify slack of github actions,neutral
185,run claude code in github actions workflows,neutral
186,installs and configures poetry,neutral
187,check your applications for vulnerabilties using snyk,neutral
188,automatically exports your godot games,positive
189,install ssh key in ssh,neutral
190,install the rust toolchain,neutral
191,github action for detecting and fixing linting errors,negative
192,create comment on pull request if exists update that comment,neutral
193,use this action to deploy a container or source code to google cloud run,neutral
194,automatically generate update markdown content like a readme md,positive
195,send an email to multiple recipients,neutral
196,this action integrates chatgpt into your ci,neutral
197,install qemu static binaries,neutral
198,write a comment about every commit in a pull request every file diff and summarize pr,neutral
199,execute flawfinder to scan source code for vulnerabilities,negative
200,run a github action as a github app instead of using secrets github token or a personal access token,neutral
201,install qt on your github actions workflows with just one simple action,positive
202,track your code coverage in each pull request,neutral
203,run pre commit,neutral
204,build and release go binaries to github release assets,neutral
205,run gitleaks on push and pull request events,neutral
206,retry a step on failure or timeout,negative
207,enabling branch deployments through issueops with github actions,neutral
208,a github action that detects and automatically closes low quality and ai slop prs,positive
209,are you an early or a night let s check out in gist,neutral
210,stop saying you forgot to in code review,neutral
211,skip duplicate workflow runs skip or ignore specific paths cancel outdated workflow runs,negative
212,a github action to report out issue metrics,negative
213,free no configuration nix cache cut ci time by 50 or more by caching to github actions cache,positive
214,use doctl to manage your digitalocean resources,neutral
215,authenticate to azure and run your azure cli or azure powershell based actions or scripts,neutral
216,policy enforcement for your pipelines,neutral
217,send test coverage data to coveralls io for analysis change tracking and notifications,neutral
218,github action to deploy to github pages,neutral
219,github action for running one or multiple lighthouse audits featuring pr comments slack notifications and more,neutral
220,maximize the available disk space for your build job,neutral
221,a github action that allows you to consume hashicorp vault secrets as secure environment variables,positive
222,github action for creating a release on sentry,neutral
223,useful to push files to another repository to be used for example via github pages,neutral
224,github action to run self hosted renovate,neutral
225,release npm package based on commit metadata,neutral
226,the github action which powers data fetching for flat,neutral
227,github action to create a env file with github secrets,neutral
228,github action for installing development tools,neutral
229,size limit action,neutral
230,action to simplify using dev containers in github workflows,positive
231,automatically approve pull requests,positive
232,quickly check links in markdown html and text files,positive
233,a composite action that prepares your static assets to be deployed to github pages,neutral
234,blazing fast localhost crawling via the linkcheck tool,positive
235,publish to cloudflare pages,neutral
236,an action to run,neutral
237,outputs a message to discord,neutral
238,keep your fork up to date,neutral
239,generate an ai response based on a provided prompt,neutral
240,scan project dependencies for restrictive and incompatible licenses,neutral
241,execute any script in a github issue comment,negative
242,enhanced claude code action supporting authentication for claude pro max subscribers without api keys,positive
243,github action that uploads artifacts to firebase app distribution,neutral
244,,neutral
245,sync current repository with remote,neutral
246,set up a beam based ci environment supporting languages and tools such as erlang otp elixir gleam rebar3 and hex,neutral
247,display test results summary in a github actions workflow,neutral
248,deploying lambda code to an existing function,neutral
249,set up conda package and environment manager with miniconda,neutral
250,send arbitrary requests to github s rest api,neutral
251,determines version of a repo based on git history,neutral
252,github action for deploying code via rsync over ssh securely used by 5k workflows,neutral
253,convert pydantic models into typescript definitions and ensure that your type definitions are in sync,neutral
254,unauthorized access can be identified based on urls and roles credentials,neutral
255,cache images created between main run and post run,neutral
256,deletes package versions,neutral
257,post commit comments from git memento notes or enforce note coverage in ci,neutral
258,check if all links are valid in markdown files,neutral
259,publish jdeploy bundles on github or npm,neutral
260,deploy a pull request preview to github pages similar to vercel and netlify,neutral
261,automate publishing rust build artifacts for github releases through github actions,positive
262,report junit test results as annotations on github pull request junit,neutral
263,a github action that easily helps you automatically manage issues,positive
264,run specfy s stack analyser and send update to specfy api,neutral
265,,neutral
266,an action to sign an android release apk or aab,neutral
267,github action for working painlessly with deployment statuses,neutral
268,github action to print relevant stats about pull request reviewers,neutral
269,configure microsoft visual c command line,neutral
270,a tool to enforce swift style and conventions,neutral
271,build push and run unikernel images with unikraft,neutral
272,helps set up msbuild into path for later usage,positive
273,build deploy a theme to your ghost site,neutral
274,wait on a certain check to pass for commit,neutral
275,add reviewers to pull requests when pull requests are opened,neutral
276,comments a pull request with the provided message,neutral
277,label a pr based on the amount of changes,neutral
278,,neutral
279,update your nix flake lock and send a pr,neutral
280,generates a human readable test report from the xcode result bundle and shows it on github checks,neutral
281,setup an msys2 environment,neutral
282,trigger and chain github actions workflows with workflow dispatch events,neutral
283,set up your github actions workflow with a specific version of xcode,neutral
284,run playwright tests on github actions,neutral
285,deploy your applications to deno deploy right from github actions,neutral
286,an action to update a docker hub repository description from readme md,neutral
287,github action to easily import a gpg key,positive
288,create a kind kubernetes in docker cluster,neutral
289,,neutral
290,,neutral
291,a github action to deploy the jekyll site conveniently for github pages,neutral
292,automating code review using chatgpt with github actions integration on prs for code explanations,neutral
293,scan your code with sonarqube server and cloud to detect issues in 30 languages formerly sonarqube and sonarcloud,negative
294,run ossf scorecard checks and output results in sarif format,neutral
295,a github action for serializing workflow runs,neutral
296,scans the web application with the zap full scan,neutral
297,sync leetcode submissions to github,neutral
298,setup specific rust versions with caching pre configured it provides problem matchers for cargo and rustfmt issues,negative
299,github action to sync files like workflows between repositories,neutral
300,netlify deploy from github actions,neutral
301,this action triggers a workflow in another repository and waits for the result,neutral
302,publish your logseq graph,neutral
303,automated version bump for npm packages,positive
304,automatically merge dependabot prs when version comparison is within range,positive
305,sharpen your code ship with confidence elevate your workflow with deepseek code review,neutral
306,execute ansible playbook on selected hosts,neutral
307,build ios project xcodeproj xcworkspace and export ipa with custom entitlements,neutral
308,scans the web application with the zap baseline scan,neutral
309,create pull request,neutral
310,use registry to pull push cache for an image stages included,neutral
311,scan your python code for security issues,negative
312,run tests on a webpage via google s lighthouse tool,neutral
313,a continuously resilient xcodebuild action the best xcodebuild action by far mxcl,positive
314,github action for shellcheck,neutral
315,sast dead code detection secrets scanning and pr gating for python typescript java and go,neutral
316,github action that creates a new branch after assigning an issue,negative
317,efficiently deploy a folder to neocities org,positive
318,automate github project cards with any webhook event,positive
319,scan commits for secrets and other issues,negative
320,install apt based packages and cache them for future runs,neutral
321,bump version tag commit and generates changelog with conventional commits,neutral
322,inserts a container image uri into a container definition in an amazon ecs task definition json file creating a new file,neutral
323,an action to handle the contributor license agreement cla and developer certificate of orgin dco,neutral
324,run ci in freebsd for github actions,neutral
325,use this action to deploy your function or update an existing cloud function,neutral
326,build publish and view test reports on job summaries and pull requests,neutral
327,copies secrets from the action s environment to many other repos,neutral
328,no more manually deleting merged branches this lovely app does it for you,neutral
329,an action for executing fastlane lanes,neutral
330,an action shows timeline of a github action workflow in the run summary page,neutral
331,deploy web apps containerized web apps to azure github com azure actions,neutral
332,ai powered code review tool,neutral
333,automatically adds labels to pull requests based on conventional commits works with github automated releases,positive
334,lock closed issues pull requests and discussions after a period of inactivity,negative
335,ai code review codeball approves pull requests that a human would have approved wait less for review save time and money,neutral
336,setup deno by installing downloading and adding it to the path,neutral
337,github actions for mdbook setup mdbook quickly and build your site fast,positive
338,checks if your node js installation is vulnerable to known security vulnerabilities,negative
339,github action to expose slug value of environment variables inside your github workflow,neutral
340,build and cache nix packages using cachix binary caches to significantly reduce build times,neutral
341,plan and apply terraform opentofu via pr automation using best practices for secure and scalable iac workflows,positive
342,automatically runs prettier on all your changes,positive
343,spell check code and commits,neutral
344,builds a docker image and pushes to a private registry with support for multiple tags,neutral
345,github action for building and uploading rust binary to github releases,neutral
346,deploy game builds to steam using the steamsdk,neutral
347,wraps the yarn cli to enable common yarn commands,neutral
348,setup a swift environment on ubuntu or macos,neutral
349,synchronises changes of the template repository,neutral
350,convert pandoc input to vimdoc output,neutral
351,publishes a logseq graph as a single page application spa,neutral
352,automated build android app bundle and apk with github action,positive
353,a full featured license tool to check and fix license headers and dependencies licenses,neutral
354,automatically updates a target branch with new commits from an upstream repo great for forks or parallel projects,positive
355,create badges via shields io endpoint for your readme md which may change with every commit,neutral
356,extract information from about the dependency being updated by a dependabot generated pr,neutral
357,detect and fail ci when dependencies in your lockfile lose npm provenance or trusted publisher status,negative
358,create any http request,neutral
359,wraps the flyctl cli tool to enable deploying and managing fly apps,neutral
360,a collection of actions for building gradle projects as well as generating a dependency graph via dependency submission,neutral
361,runs dotenv linter as a github action,neutral
362,scan your projects with qodana on github docs,neutral
363,make secrets from 1password connect available as environment variables in the next steps,neutral
364,review your prs with a gpt model from azure open ai,neutral
365,build and deploy your gatsby site to github pages,neutral
366,publish from github actions using multi factor authentication,neutral
367,creates a new issue using a template with front matter,negative
368,run clippy and annotate the diff with errors and warnings,negative
369,run checkov against terraform cloudformation infrastructure code as a pre packaged github action,neutral
370,execute codebuild startbuild for the current repo,neutral
371,runs a dastardly scan against a target site,neutral
372,your one stop github action for seamless minecraft project publication across various platforms,positive
373,github action to use docker buildx bake as a high level build command,neutral
374,install the helm chart testing tool,neutral
375,deploy to a kubernetes cluster including but not limited to azure kubernetes service aks clusters,neutral
376,build and deploy a zola site to github pages,neutral
377,install and run the tagpr,neutral
378,create html report with analysis of commit statistics,neutral
379,pulumi s github actions deploy apps and infrastructure to your cloud of choice using just your favorite language and github,neutral
380,deploy file to your server use sftp ssh private key,neutral
381,support amlogic rockchip and allwinner boxes,neutral
382,power platform getting started with who am i,neutral
383,publish new releases of your application to windows package manager easily,positive
384,deploys a aws cloudformation stack,neutral
385,deploy and promote a new service to google app engine,neutral
386,deploy a static website to aws s3 and invalidate cloudfront distribution,neutral
387,install foundry,neutral
388,scan your project for ai agent security risks detects secrets misconfigurations and generates a tailored security config,negative
389,deploys mkdocs site,neutral
390,scan docker containers with grype for vulnerabilities,negative
391,one stop solution for all your asyncapi specification needs in github actions,neutral
392,mirror a repository to another repository on github gitlab bitbucket aws codecommit etc,neutral
393,see cloud cost estimates for terraform in pull requests,neutral
394,setup the android sdk tools and add them to the path,neutral
395,migrate your migrations using geni,neutral
396,install all the tools required for building and testing c c projects,neutral
397,upload files or folders to gcs buckets,neutral
398,build tasks for easy semantic versioning for projects using git and release management,positive
399,gitartwork on users contribution graph,neutral
400,imports a pkcs12 certificate and private key into a macos keychain,neutral
401,install and configure jfrog cli,neutral
402,workflow for displaying recent youtube videos as svg cards in your readme,neutral
403,ai powered security scanning for ci cd pipelines with sarif output,neutral
404,automatically labels your prs based on branch name patterns like feature or fix,positive
405,wrapper around the github checks api,neutral
406,action that runs hadolint dockerfile linting tool,neutral
407,comments a pull request with the pytest code coverage badge and full report,neutral
408,updates the code and configuration of aws lambda functions if the function does not exist a new one will be created,neutral
409,run eslint with reviewdog on pull requests to improve code review experience,positive
410,a github action that reads cobertura format code coverage files and outputs a text or markdown summary,neutral
411,installs and caches php dependencies with composer accepting arguments to configure how and what to install,neutral
412,actions for working with mise runtime manager,neutral
413,post github actions ci status to discord,neutral
414,add a comment to a pull request,neutral
415,publish your vscode extension to the vs marketplace using vsce or the open vsx registry using ovsx with ease,neutral
416,uploads an app to apple testflight,neutral
417,deploy websites via sftp ssh rsync,neutral
418,provide a vitest test coverage report as step summary and comment in pull requests,neutral
419,get rid of all unused imports,neutral
420,run vhs to render terminal videos,neutral
421,finds potential accessibility gaps files github issues to track them and attempts to fix them with copilot,negative
422,start a mongodb server on default port 27017 or a custom port,neutral
423,create a retention policy for your ghcr hosted container images,neutral
424,labels issues and pull requests if the author is a sponsor,negative
425,run tests for any unity project,neutral
426,run a command in a new container,neutral
427,easily run a kubernetes cluster in your github action,positive
428,github action to ensure the correctness of your codeowners file,neutral
429,a composite action that prepares your astro site to be deployed to github pages,neutral
430,github action to generate toc,neutral
431,validate the presence or absence of certificate authorities in your container image,neutral
432,run golangci lint with reviewdog on pull requests to improve code review experience,positive
433,github action with all the components of the google cloud sdk,neutral
434,github action to run commands on a remote server using ssh,neutral
435,this action will automatically push empty commits to one of your github repos,positive
436,get all of the files changed modified in a pull request or push s commits,neutral
437,markdown translation into any other language powered by chatgpt,neutral
438,the official trunk io github action,neutral
439,the official github action for vale install manage and run vale with ease,neutral
440,push a subdirectory as a branch to any git repo over ssh or to the local repo,neutral
441,find an issue or pull request comment,negative
442,github action to delete workflow runs in a repository,neutral
443,a github action to run ruff an extremely fast python linter and code formatter,positive
444,generate beautiful images for code blocks present in issues,neutral
445,labels issues automatically based on their body,neutral
446,detects whether a path or a combination of paths were changed in the previous commit,neutral
447,retrieve github branch or tag information without the ref prefix,neutral
448,this github action automatically reviews prs using google s gemini ai model,positive
449,delete artifacts created within the workflow run,neutral
450,install nix with the determinate nix installer see,neutral
451,setup and optionally run vcpkg to build c c dependencies and cache them automatically,positive
452,wrap the nx monorepo tool and execute tasks depending on the action context,neutral
453,creates an sbom software bill of materials from your code and container images,neutral
454,automatically publish new versions to npm,positive
455,this action allows you to manage and synchronize localization resources with your crowdin project,neutral
456,download and install the zig compiler and cache the global zig cache,neutral
457,go test coverage is a tool designed to report issues when test coverage falls below a specified threshold,negative
458,set up an ocaml and opam environment and add to path,neutral
459,download release assets from private or public github repositories,neutral
460,a github action to request dependabot enablement on eligible repositories in an organization,neutral
461,the action for translating non english issues content to english,negative
462,build a modules or standalone executable from python code using nuitka on mac linux windows very wide range of compatibility,neutral
463,setup your runner with clojure build tools,neutral
464,goreadme command line tool and github action,neutral
465,convert todo comments into issues,negative
466,the kubectl command line program as a github action,neutral
467,sync github labels in the declarative way,neutral
468,gets a github auth token for a github app installation,neutral
469,download and setup the dart sdk,neutral
470,run hyperlink link checker on a folder of static html,neutral
471,github action to upload and scan files with virustotal,neutral
472,creates action files for go code,neutral
473,automate versioning releases and documentation for terraform modules in github monorepos,positive
474,publish github releases from an action,neutral
475,runs aws cdk via github actions,neutral
476,removes all the cruft from a github actions runner to make the most space possible for nix,neutral
477,find files that were modified during workflow execution,neutral
478,builds the current package using standard pypa tooling keeps it as artifacts then performs checks on it,neutral
479,a github action to enable pages extract various metadata about a site and configure some supported static site generators,neutral
480,a github action that auto updates prs with changes from their destination branch,neutral
481,set up a specific version of the graalvm jdk and add the command line tools to the path,neutral
482,automatically fix formatting lint issues in pull requests,neutral
483,publish code coverage to code climate,neutral
484,runs the golang magic number detector,neutral
485,easily compare gas reports generated by foundry,positive
486,install and setup google chrome and chromium,neutral
487,cross compile your rust projects with cross,neutral
488,runs jenkinsfile in a pre packaged single shot master,neutral
489,a github action that uses ai to generate a quiz based on a pull request,neutral
490,builds documentation using sphinx,neutral
491,this action runs your compose file s and clean up before action finished,positive
492,notify slack of github actions workflows jobs and step status,neutral
493,look for a trigger word in a pull request description or comment so that later steps can know whether or not to run,neutral
494,pr,neutral
495,creates a github deployment,neutral
496,publish your browser extension anywhere using a single action,neutral
497,build multiple versions of a binary with different cpu features set merged into one portable optimized binary,positive
498,detect similarities between source code files,neutral
499,deploy temporary apps from pull requests on fly io,neutral
500,automatically test code changes in webpagetest and enforce performance budgets,positive
501,installs nvidia cuda toolkit and adds it to path,neutral
502,obtain a temporary access token for a github application when running in a github actions workflow,neutral
503,flatpak applications builder,neutral
504,a github action to run fully customizable k3s clusters during workflow provides an image registry and multi cluster support,neutral
505,build pack publish a nuget package with dotnet core on project version change,neutral
506,use the composer cli in your github actions,neutral
507,bump homebrew formula after a new release,neutral
508,capture screenshot of a website,neutral
509,update the release notes with the latest changes right after a pr is merged,neutral
510,outputs a message to slack,neutral
511,publishes the jacoco report as a comment in the pull request,neutral
512,publish your static files support oss cos qiniu aws s3 google storage,neutral
513,a github action to identify stale repos within an organization,negative
514,github action to copy a folder to a remote server using ssh,neutral
515,run cmake with cmakepreset json to configure build package and test c c source code,neutral
516,automation of contributors list in readme md,positive
517,generate changelog based on your git history,neutral
518,get the latest tag from git and outputs that for use in other actions,neutral
519,deploy wordpress projects to a wp engine account using ssh gateway,neutral
520,derives shas for base and head for use in nx affected commands optionally setting them as env variables for the current job,neutral
521,scan claude code configurations for security issues,negative
522,a github action that automatically format markdown files sync external docs src code make better docs,positive
523,github action with kubernetes tools kubectl kustomize helm kubeval kubeaudit conftest jq yq go,neutral
524,ephemeral preview deployments of your app for every pull request,neutral
525,compiles latex documents using pdflatex lualatex xelatex full texlive distribution,neutral
526,official github action for deploying apps to a dokku installation,neutral
527,installs cosign and includes it in your path,neutral
528,use php cs fixer via githubaction,neutral
529,will update repo s labels based on data in json file located at repo github labels json,neutral
530,github actions to get git diff,neutral
531,sets up tflint cli in your github actions workflow,neutral
532,plant trees within your development workflow with digitalhumani com,neutral
533,format python code using black,neutral
534,credsweeper checks files,neutral
535,find a pr associated with the current commit,neutral
536,used for pushing a copy of a file to another repository,neutral
537,run macaron to analyze artifacts for supply chain security,neutral
538,deploy your project to vercel using github actions supports pr previews and github deployments,neutral
539,sets up turborepo remote caching to work with github actions built in cache no vercel account access tokens needed,neutral
540,expose useful environment variables,neutral
541,setup sccache action,neutral
542,update a pinned gist to contain the latest tweets of a user,neutral
543,make github rick roll innocent people,neutral
544,monitor repositories for security vulnerability patches using claude ai,negative
545,get secrets from google secret manager and make their results available as output variables,neutral
546,github action for retrieving secrets from aws secrets manager,neutral
547,gets your tryhackme badge and updates it on your readme,neutral
548,create a github release with assets and changelog,neutral
549,make an archive from specified files and directories as workflow action,neutral
550,customisable github action to package your python code with pyinstaller for windows,neutral
551,setup supabase cli supabase on github actions runners,neutral
552,upload directory to s3,neutral
553,send github actions workflow status notifications to slack,neutral
554,github action assume aws roles using saml to,neutral
555,github action to request temporary access tokens,neutral
556,the github action allows uploading dapps or content to ipfs it supports ipfs pinata infura pinning services,neutral
557,build a container image with or without a containerfile,neutral
558,provides cross platform runner,neutral
559,docker ros automatically builds development and deployment docker images for your ros based repositories,positive
560,generate terraform module documentation in pull requests,neutral
561,github action to install and run a custom maturin command,neutral
562,ai powered code reviews that detect issues provide summaries and suggest auto fixes on prs,negative
563,automatically approve and merge dependabot prs,positive
564,check format or remove license headers,neutral
565,uploads a file to a new release,neutral
566,deploy function app to azure functions,neutral
567,install a specific version of helm binary acceptable values are latest or any semantic version string like 1 15 0,neutral
568,assign new labeled issue or pull request to a specific project dashboard column,negative
569,run cargo audit and check for security advisories,neutral
570,composite action to run commands within a qemu chrooted environment,neutral
571,help manage cargo crate dependencies and validate licenses,positive
572,a github action to run dart analyzer with annotation support,neutral
573,a github action to open a pull request,neutral
574,an action to create an issue using content from a file,negative
575,this github action automatically builds the android apk under the artifact section,positive
576,build and publish world of warcraft addons,neutral
577,run mado to check markdown files,neutral
578,a github action that manage git merge for any gitflow,neutral
579,enforce lcov coverage thresholds,neutral
580,github action to install any version of java graalvm java 8 java 11 java 14,neutral
581,export image assets from figma to github,neutral
582,mark issues as dependent on another,negative
583,a github action to find and report dead broken links in files urls or sitemaps,negative
584,keep your free server awake,positive
585,runs tfsec and adds comments to the pr where checks have failed,neutral
586,comments a pull request with the code coverage,neutral
587,scan new issues and comments with github models ai prompts label or hide spam automatically,neutral
588,enables private actions to be easily reused across repositories,positive
589,install typst and add it to the path with package management,neutral
590,turborepo remote cache server background process as action,neutral
591,invalidate cloudfront distribution paths,neutral
592,update the property of an existing yaml file,neutral
593,a github action that speeds up compiling for c c projects using ccache,neutral
594,build ios project xcodeproj xcworkspace export ipa optional upload to browserstack app live,neutral
595,creates pdf and html files from markdown using the github or custom theme,neutral
596,run remote ssh commands,neutral
597,setup aws sam cli and add it to the path,neutral
598,creates outputs variables of files modified added or removed by a pr or push,neutral
